X,CH1
-1.65E-01,2.32E+00
-1.64E-01,2.24E+00
-1.63E-01,2.32E+00
-1.62E-01,2.32E+00
-1.61E-01,2.24E+00
-1.60E-01,2.28E+00
-1.59E-01,2.24E+00
-1.58E-01,4.00E-02
-1.57E-01,0.00E+00
-1.56E-01,0.00E+00
-1.55E-01,4.00E-02
-1.54E-01,0.00E+00
-1.53E-01,0.00E+00
-1.52E-01,4.00E-02
-1.51E-01,-4.00E-02
-1.50E-01,4.00E-02
-1.49E-01,0.00E+00
-1.48E-01,2.28E+00
-1.47E-01,2.20E+00
-1.46E-01,2.32E+00
-1.45E-01,2.24E+00
-1.44E-01,2.32E+00
-1.43E-01,2.24E+00
-1.42E-01,2.32E+00
-1.41E-01,2.24E+00
-1.40E-01,2.32E+00
-1.39E-01,2.24E+00
-1.38E-01,2.32E+00
-1.37E-01,0.00E+00
-1.36E-01,0.00E+00
-1.35E-01,4.00E-02
-1.34E-01,0.00E+00
-1.33E-01,4.00E-02
-1.32E-01,0.00E+00
-1.31E-01,4.00E-02
-1.30E-01,0.00E+00
-1.29E-01,0.00E+00
-1.28E-01,2.20E+00
-1.27E-01,2.32E+00
-1.26E-01,2.24E+00
-1.25E-01,2.32E+00
-1.24E-01,2.36E+00
-1.23E-01,2.24E+00
-1.22E-01,2.32E+00
-1.21E-01,2.24E+00
-1.20E-01,2.32E+00
-1.19E-01,2.20E+00
-1.18E-01,4.00E-02
-1.17E-01,0.00E+00
-1.16E-01,0.00E+00
-1.15E-01,0.00E+00
-1.14E-01,0.00E+00
-1.13E-01,-4.00E-02
-1.12E-01,0.00E+00
-1.11E-01,-4.00E-02
-1.10E-01,0.00E+00
-1.09E-01,4.00E-02
-1.08E-01,0.00E+00
-1.07E-01,2.28E+00
-1.06E-01,2.24E+00
-1.05E-01,2.32E+00
-1.04E-01,2.36E+00
-1.03E-01,2.24E+00
-1.02E-01,2.32E+00
-1.01E-01,2.24E+00
-1.00E-01,2.32E+00
-9.90E-02,2.24E+00
-9.80E-02,2.28E+00
-9.70E-02,0.00E+00
-9.60E-02,4.00E-02
-9.50E-02,0.00E+00
-9.40E-02,4.00E-02
-9.30E-02,-4.00E-02
-9.20E-02,0.00E+00
-9.10E-02,4.00E-02
-9.00E-02,0.00E+00
-8.90E-02,-4.00E-02
-8.80E-02,0.00E+00
-8.70E-02,2.28E+00
-8.60E-02,2.32E+00
-8.50E-02,2.20E+00
-8.40E-02,2.32E+00
-8.30E-02,2.24E+00
-8.20E-02,2.32E+00
-8.10E-02,2.24E+00
-8.00E-02,2.32E+00
-7.90E-02,2.24E+00
-7.80E-02,2.28E+00
-7.70E-02,0.00E+00
-7.60E-02,0.00E+00
-7.50E-02,0.00E+00
-7.40E-02,0.00E+00
-7.30E-02,0.00E+00
-7.20E-02,-4.00E-02
-7.10E-02,4.00E-02
-7.00E-02,0.00E+00
-6.90E-02,-4.00E-02
-6.80E-02,0.00E+00
-6.70E-02,2.32E+00
-6.59E-02,2.32E+00
-6.50E-02,2.24E+00
-6.40E-02,2.32E+00
-6.30E-02,2.24E+00
-6.20E-02,2.24E+00
-6.10E-02,2.32E+00
-6.00E-02,2.32E+00
-5.90E-02,2.24E+00
-5.80E-02,2.28E+00
-5.70E-02,0.00E+00
-5.60E-02,0.00E+00
-5.50E-02,4.00E-02
-5.40E-02,4.00E-02
-5.30E-02,0.00E+00
-5.20E-02,0.00E+00
-5.10E-02,-4.00E-02
-5.00E-02,0.00E+00
-4.90E-02,4.00E-02
-4.80E-02,0.00E+00
-4.70E-02,2.32E+00
-4.60E-02,2.32E+00
-4.50E-02,2.24E+00
-4.40E-02,2.32E+00
-4.30E-02,2.24E+00
-4.20E-02,2.28E+00
-4.10E-02,2.24E+00
-4.00E-02,2.24E+00
-3.90E-02,2.32E+00
-3.80E-02,2.28E+00
-3.70E-02,0.00E+00
-3.60E-02,4.00E-02
-3.50E-02,-4.00E-02
-3.40E-02,0.00E+00
-3.30E-02,-4.00E-02
-3.20E-02,0.00E+00
-3.10E-02,0.00E+00
-3.00E-02,0.00E+00
-2.90E-02,-4.00E-02
-2.80E-02,0.00E+00
-2.70E-02,2.28E+00
-2.60E-02,2.24E+00
-2.50E-02,2.32E+00
-2.40E-02,2.24E+00
-2.30E-02,2.32E+00
-2.20E-02,2.32E+00
-2.10E-02,2.24E+00
-2.00E-02,2.24E+00
-1.90E-02,2.32E+00
-1.80E-02,2.24E+00
-1.70E-02,2.32E+00
-1.60E-02,2.32E+00
-1.50E-02,2.24E+00
-1.40E-02,2.20E+00
-1.30E-02,2.32E+00
-1.20E-02,2.24E+00
-1.10E-02,2.32E+00
-1.00E-02,2.24E+00
-9.00E-03,2.32E+00
-8.00E-03,2.24E+00
-7.00E-03,2.36E+00
-6.00E-03,2.24E+00
-5.00E-03,2.32E+00
-4.00E-03,2.24E+00
-3.00E-03,2.36E+00
-2.00E-03,2.24E+00
-1.00E-03,2.32E+00
0.00E+00,2.32E+00
1.00E-03,2.24E+00
2.00E-03,2.24E+00
3.00E-03,2.32E+00
4.00E-03,2.24E+00
5.00E-03,2.36E+00
6.00E-03,2.24E+00
7.00E-03,2.32E+00
8.00E-03,2.24E+00
9.00E-03,2.32E+00
1.00E-02,2.32E+00
1.10E-02,2.24E+00
1.20E-02,2.24E+00
1.30E-02,2.32E+00
1.40E-02,2.32E+00
1.50E-02,2.24E+00
1.60E-02,2.32E+00
1.70E-02,2.24E+00
1.80E-02,2.32E+00
1.90E-02,2.24E+00
2.00E-02,2.32E+00
2.10E-02,2.24E+00
2.20E-02,2.32E+00
2.30E-02,0.00E+00
2.40E-02,4.00E-02
2.50E-02,0.00E+00
2.60E-02,4.00E-02
2.70E-02,-4.00E-02
2.80E-02,0.00E+00
2.90E-02,0.00E+00
3.00E-02,-4.00E-02
3.10E-02,4.00E-02
3.20E-02,4.00E-02
3.30E-02,-4.00E-02
3.40E-02,0.00E+00
3.50E-02,4.00E-02
3.60E-02,0.00E+00
3.70E-02,4.00E-02
3.80E-02,0.00E+00
3.90E-02,4.00E-02
4.00E-02,4.00E-02
4.10E-02,-4.00E-02
4.20E-02,0.00E+00
4.30E-02,4.00E-02
4.40E-02,0.00E+00
4.50E-02,4.00E-02
4.60E-02,4.00E-02
4.70E-02,-4.00E-02
4.80E-02,0.00E+00
4.90E-02,4.00E-02
5.00E-02,0.00E+00
5.10E-02,0.00E+00
5.20E-02,0.00E+00
5.30E-02,0.00E+00
5.40E-02,0.00E+00
5.50E-02,4.00E-02
5.60E-02,0.00E+00
5.70E-02,4.00E-02
5.80E-02,-4.00E-02
5.90E-02,4.00E-02
6.00E-02,0.00E+00
6.10E-02,4.00E-02
6.20E-02,0.00E+00
6.30E-02,4.00E-02
6.40E-02,4.00E-02
6.50E-02,-4.00E-02
6.59E-02,0.00E+00
6.70E-02,4.00E-02
6.80E-02,0.00E+00
6.90E-02,4.00E-02
7.00E-02,0.00E+00
7.10E-02,4.00E-02
7.20E-02,0.00E+00
7.30E-02,2.28E+00
7.40E-02,2.24E+00
7.50E-02,2.32E+00
7.60E-02,2.32E+00
7.70E-02,2.24E+00
7.80E-02,2.32E+00
7.90E-02,2.24E+00
8.00E-02,2.24E+00
8.10E-02,2.32E+00
8.20E-02,2.32E+00
8.30E-02,0.00E+00
8.40E-02,0.00E+00
8.50E-02,4.00E-02
8.60E-02,0.00E+00
8.70E-02,-4.00E-02
8.80E-02,0.00E+00
8.90E-02,4.00E-02
9.00E-02,4.00E-02
9.10E-02,-4.00E-02
9.20E-02,0.00E+00
9.30E-02,2.28E+00
9.40E-02,2.20E+00
9.50E-02,2.32E+00
9.60E-02,2.24E+00
9.70E-02,2.32E+00
9.80E-02,2.24E+00
9.90E-02,2.32E+00
1.00E-01,2.32E+00
1.01E-01,2.24E+00
1.02E-01,2.32E+00
1.03E-01,0.00E+00
1.04E-01,0.00E+00
1.05E-01,4.00E-02
1.06E-01,0.00E+00
1.07E-01,4.00E-02
1.08E-01,4.00E-02
1.09E-01,-4.00E-02
1.10E-01,0.00E+00
1.11E-01,4.00E-02
1.12E-01,0.00E+00
1.13E-01,2.28E+00
1.14E-01,2.28E+00
1.15E-01,2.24E+00
1.16E-01,2.24E+00
1.17E-01,2.32E+00
1.18E-01,2.32E+00
1.19E-01,2.24E+00
1.20E-01,2.32E+00
1.21E-01,2.24E+00
1.22E-01,2.32E+00
1.23E-01,0.00E+00
1.24E-01,4.00E-02
1.25E-01,-4.00E-02
1.26E-01,-4.00E-02
1.27E-01,0.00E+00
1.28E-01,0.00E+00
1.29E-01,4.00E-02
1.30E-01,0.00E+00
1.31E-01,4.00E-02
1.32E-01,0.00E+00
1.33E-01,2.32E+00
1.34E-01,2.32E+00
1.35E-01,2.24E+00
1.36E-01,2.20E+00
1.37E-01,2.32E+00
1.38E-01,2.32E+00
1.39E-01,2.20E+00
1.40E-01,2.32E+00
1.41E-01,2.24E+00
1.42E-01,2.36E+00
1.43E-01,0.00E+00
1.44E-01,4.00E-02
1.45E-01,-4.00E-02
1.46E-01,4.00E-02
1.47E-01,-4.00E-02
1.48E-01,-4.00E-02
1.49E-01,4.00E-02
1.50E-01,0.00E+00
1.51E-01,0.00E+00
1.52E-01,0.00E+00
1.53E-01,2.28E+00
1.54E-01,2.24E+00
1.55E-01,2.32E+00
1.56E-01,2.32E+00
1.57E-01,2.24E+00
1.58E-01,2.32E+00
1.59E-01,2.24E+00
1.60E-01,2.28E+00
1.61E-01,2.36E+00
1.62E-01,2.32E+00
1.63E-01,0.00E+00
1.64E-01,4.00E-02
1.65E-01,0.00E+00
1.66E-01,0.00E+00
1.67E-01,-4.00E-02
1.68E-01,-4.00E-02
1.69E-01,4.00E-02
1.70E-01,-4.00E-02
1.71E-01,0.00E+00
1.72E-01,0.00E+00
1.73E-01,2.28E+00
1.74E-01,2.32E+00
1.75E-01,2.20E+00
1.76E-01,2.28E+00
1.77E-01,2.36E+00
1.78E-01,2.24E+00
1.79E-01,2.32E+00
1.80E-01,2.32E+00
1.81E-01,2.24E+00
1.82E-01,2.32E+00
1.83E-01,0.00E+00
1.84E-01,4.00E-02
1.85E-01,0.00E+00
1.86E-01,0.00E+00
1.87E-01,4.00E-02
1.88E-01,0.00E+00
1.89E-01,4.00E-02
1.90E-01,0.00E+00
1.91E-01,0.00E+00
1.92E-01,0.00E+00
1.93E-01,2.28E+00
1.94E-01,2.32E+00
1.95E-01,2.24E+00
1.96E-01,2.28E+00
1.97E-01,2.36E+00
1.98E-01,2.24E+00
1.99E-01,2.32E+00
2.00E-01,2.24E+00
2.01E-01,2.32E+00
2.02E-01,2.32E+00
2.03E-01,0.00E+00
2.04E-01,4.00E-02
2.05E-01,0.00E+00
2.06E-01,0.00E+00
2.07E-01,0.00E+00
2.08E-01,0.00E+00
2.09E-01,4.00E-02
2.10E-01,0.00E+00
2.11E-01,4.00E-02
2.12E-01,0.00E+00
2.13E-01,2.28E+00
2.14E-01,2.24E+00
2.15E-01,2.32E+00
2.16E-01,2.20E+00
2.17E-01,2.32E+00
2.18E-01,2.24E+00
2.19E-01,2.32E+00
2.20E-01,2.32E+00
2.21E-01,2.24E+00
2.22E-01,2.32E+00
2.23E-01,0.00E+00
2.24E-01,0.00E+00
2.25E-01,4.00E-02
2.26E-01,4.00E-02
2.27E-01,0.00E+00
2.28E-01,0.00E+00
2.29E-01,-4.00E-02
2.30E-01,0.00E+00
2.31E-01,4.00E-02
2.32E-01,0.00E+00
2.33E-01,2.32E+00
2.34E-01,2.24E+00
2.35E-01,2.32E+00
2.36E-01,2.28E+00
2.37E-01,2.32E+00
2.38E-01,2.24E+00
2.39E-01,2.32E+00
2.40E-01,2.24E+00
2.41E-01,2.32E+00
2.42E-01,2.28E+00
2.43E-01,0.00E+00
2.44E-01,4.00E-02
2.45E-01,-4.00E-02
2.46E-01,0.00E+00
2.47E-01,4.00E-02
2.48E-01,-4.00E-02
2.49E-01,0.00E+00
2.50E-01,0.00E+00
2.51E-01,4.00E-02
2.52E-01,0.00E+00
2.53E-01,2.32E+00
2.54E-01,2.28E+00
2.55E-01,2.24E+00
2.56E-01,2.32E+00
2.57E-01,2.24E+00
2.58E-01,2.24E+00
2.59E-01,2.36E+00
2.60E-01,2.32E+00
2.61E-01,2.20E+00
2.62E-01,2.32E+00
2.63E-01,0.00E+00
2.64E-01,0.00E+00
2.65E-01,4.00E-02
2.66E-01,0.00E+00
2.67E-01,4.00E-02
2.68E-01,0.00E+00
2.69E-01,4.00E-02
2.70E-01,0.00E+00
2.71E-01,4.00E-02
2.72E-01,0.00E+00
2.73E-01,2.28E+00
2.74E-01,2.32E+00
2.75E-01,2.24E+00
2.76E-01,2.36E+00
2.77E-01,2.24E+00
2.78E-01,2.32E+00
2.79E-01,2.24E+00
ÅE´SÅEÅE©ÅEÅEÅEÛSOt?ÅE‰{#ÅE=R4≤7K¥T˘HÅE-#€a*„yÅE∂+zK ºE!”CÅEfƒ≠˘G®∫ÅE˘⁄@–]≠%–£u3cW˙æáàΩ0k*ëyÆc«(≈BjÅE“™4¡ÀLF™ÅEÄlÅE@tßÿâ}$:Çºíu9B\%J«¬^◊ï◊ü`2◊‹ÕÕ§c∑qï§J)œ˘Ôà¡5%#∞sZÅEéK;CYf/…ÅEI•wNÅEˇ˚îÀøræ¶çÀÅE™_òjcÆôV:ÊçqN±áRä‚yÅEÅEª:]nô‹˝Ng{ÂH2,
"¯eW.ÅE»c3Õ˛®0˚ΩF‘°L^h""xE{ˆXËP_íÁ∞•",
"´TRËÅc3ïõE‹ÀÅEÍU˛Q/ôÿ!ËΩÛï9<C]0¥MÅE˘P/÷~—a£u”íŒˇÿ~P·óÅE™‰π∞*°ûÂÅE”ﬁ>–-ÅE∆ÅEQA®ÈO1l	†",
